"SubID","Block","Trial","Condition","TestDuration","Long","Exp"
"1",2,64,"Fix-Gap",875,1,"Exp1"
"1",2,65,"Fix-Gap",250,0,"Exp1"
"1",2,66,"Fix-Gap",250,0,"Exp1"
"1",2,67,"Fix-Gap",125,0,"Exp1"
"1",2,69,"Fix-Gap",375,0,"Exp1"
"1",2,70,"Fix-Gap",750,1,"Exp1"
"1",2,72,"Fix-Gap",125,0,"Exp1"
"1",2,73,"Fix-Gap",250,0,"Exp1"
"1",2,75,"Fix-Gap",375,0,"Exp1"
"1",2,76,"Fix-Gap",125,0,"Exp1"
"1",2,78,"Fix-Gap",125,0,"Exp1"
"1",2,79,"Fix-Gap",125,0,"Exp1"
"1",2,80,"Fix-Gap",750,1,"Exp1"
"1",2,81,"Fix-Gap",375,1,"Exp1"
"1",2,82,"Fix-Gap",500,1,"Exp1"
"1",2,83,"Fix-Gap",250,0,"Exp1"
"1",2,84,"Fix-Gap",625,1,"Exp1"
"1",2,85,"Fix-Gap",750,0,"Exp1"
"1",2,86,"Fix-Gap",125,0,"Exp1"
"1",2,87,"Fix-Gap",125,0,"Exp1"
"1",2,88,"Fix-Gap",875,1,"Exp1"
"1",2,89,"Fix-Gap",875,1,"Exp1"
"1",2,90,"Fix-Gap",625,1,"Exp1"
"1",2,91,"Fix-Gap",250,0,"Exp1"
"1",2,92,"Fix-Gap",125,0,"Exp1"
"1",2,93,"Fix-Gap",250,0,"Exp1"
"1",2,95,"Fix-Gap",375,0,"Exp1"
"1",2,96,"Fix-Gap",375,0,"Exp1"
"1",2,97,"Fix-Gap",625,1,"Exp1"
"1",2,98,"Fix-Gap",750,1,"Exp1"
"1",2,99,"Fix-Gap",375,0,"Exp1"
"1",2,100,"Fix-Gap",500,0,"Exp1"
"1",2,102,"Fix-Gap",375,0,"Exp1"
"1",2,104,"Fix-Gap",625,1,"Exp1"
"1",2,105,"Fix-Gap",125,0,"Exp1"
"1",2,107,"Fix-Gap",625,1,"Exp1"
"1",2,108,"Fix-Gap",375,0,"Exp1"
"1",2,109,"Fix-Gap",750,1,"Exp1"
"1",2,110,"Fix-Gap",375,0,"Exp1"
